sim, sim.num, error, n, time.elapsed, model, mod.nodes, n.effect, n.noeffect, rmse.effect, rmse.noeffect, cov.effect, cov.noeffect, TP.effect, FP.effect, FP.noeffect, cum.rmse.effect, cum.rmse.noeffect, cum.cov.effect, cum.cov.noeffect, cum.TP, cum.FP, inc.mod_num, inc.mod_bin, inc.mod_scale, inc.other_num, inc.other_bin, inf.mod_num, inf.mod_bin, inf.mod_scale, inf.other_num, inf.other_bin, prob.mod_num, prob.mod_bin, prob.mod_scale, prob.other_num, prob.other_bin, prob.mod_num.mod_bin, prob.mod_num.mod_scale, prob.mod_scale.mod_scale, prob.2mod.max, prob.2mod.mean, oos.f.mspe, oos.f.cov, oos.y.mspe, oos.y.cov, waic
3, 14, 1, 5000, 227.237, dlmtree:TDLMpairs, 2.40725, 5000, 0, 0.0120434878371279, NaN, 0.963059459459459, NaN, 1, 8.96551724137931e-05, NaN, 0.0528486259594281, NaN, 1, NaN, 1, NaN, 0.3145, 0.2735, 0.7625, 0.3361, 0.2813, 0.0806998457088703, 0.0755117888098232, 0.465808129791368, 0.109361670348565, 0.080556234256999, 0.0389701598038495, 0.0433310400401874, 0.279592124124156, 0.0640416310882227, 0.0635797041181388, 0.033, 0.094, 0.4865, 0.183, 0.0535365853658537, 0.0045915087814996, 0.9666, 0.993221744664288, 0.9538, 14264.6022137276
3, 11, 1, 5000, 224.481, dlmtree:TDLMpairs, 2.419775, 5000, 0, 0.0114433324701483, NaN, 0.970713513513514, NaN, 1, 0.00288275862068966, NaN, 0.0780020309639587, NaN, 1, NaN, 1, NaN, 0.3845, 0.741, 0.427, 0.4719, 0.379, 0.0788499757227685, 0.455512515918185, 0.083262059450397, 0.152953865471861, 0.0785423795783862, 0.0394092751273493, 0.241232122177495, 0.0441859282694315, 0.0880326909835833, 0.0470018439015616, 0.1355, 0.0445, 0.0625, 0.332, 0.075609756097561, 0.00568823571079434, 0.9622, 1.00577871711127, 0.9424, 14122.4316114192
3, 42, 1, 5000, 286.864, dlmtree:TDLMnested, 2.467975, 5000, 0, 0.00895461481417571, NaN, 0.991010810810811, NaN, 1, 0, NaN, 0.0852035357394486, NaN, 1, NaN, 1, NaN, 0.357, 0.349, 0.294, 0.4096, 0.4551, 0.0742935112827933, 0.0866728398052902, 0.0463163110116591, 0.160844271869242, 0.156408797692092, 0.0440277929544444, 0.0421070520947912, 0.0309571091013768, 0.0760045537320912, 0.100577055437786, 0.051, 0.039, 0.046, 0.417, 0.0739085365853658, 0.00338345699493206, 0.9918, 0.973803732272295, 0.9522, 14200.5239551142
3, 12, 1, 5000, 240.374, dlmtree:TDLMpairs, 2.52635, 5000, 0, 0.0115331658778828, NaN, 0.918918918918919, NaN, 1, 0, NaN, 0.0323810710681567, NaN, 1, NaN, 1, NaN, 0.4355, 0.2905, 0.418, 0.3414, 0.3291, 0.212191861255113, 0.0845077868856153, 0.226200848152655, 0.124855796468499, 0.125971290657036, 0.110808425764296, 0.0387850398482598, 0.181128186998682, 0.0601109077167109, 0.0737447617610415, 0.056, 0.087, 0.2155, 0.1785, 0.0597439024390244, 0.00401512820702332, 0.9102, 0.98789634631275, 0.956, 14526.6939848577
3, 43, 1, 5000, 297.549, dlmtree:TDLMnested, 2.5214, 5000, 0, 0.0115909675797987, NaN, 0.9222, NaN, 1, 0.0022551724137931, NaN, 0.0418194118528082, NaN, 1, NaN, 1, NaN, 0.227, 0.288, 0.316, 0.3144, 0.2917, 0.06034297176002, 0.0920676312871258, 0.14271243740996, 0.144122668746235, 0.120179010601657, 0.0340487228745394, 0.046723290665425, 0.0951490707708025, 0.0924512236956271, 0.0723645594422195, 0.0315, 0.031, 0.1375, 0.277, 0.0517073170731707, 0.00456152849679634, 0.9394, 0.990566407088603, 0.9514, 14149.1979650207
3, 13, 1, 5000, 236.265, dlmtree:TDLMpairs, 2.502625, 5000, 0, 0.00866835364902274, NaN, 0.956691891891892, NaN, 1, 0, NaN, 0.0395913697039681, NaN, 1, NaN, 1, NaN, 0.439, 0.4205, 0.5075, 0.4781, 0.3854, 0.113433260659302, 0.12632606147466, 0.216084428691775, 0.189863093976446, 0.10182175354495, 0.060068579131624, 0.0775272259197179, 0.128178110645307, 0.0947333304035513, 0.0521118864571189, 0.078, 0.0825, 0.1825, 0.3245, 0.0770853658536585, 0.00284868900595817, 0.9912, 1.03134172911654, 0.9432, 14184.7230334216
3, 44, 1, 5000, 290.722, dlmtree:TDLMnested, 2.448075, 5000, 0, 0.00562583463900826, NaN, 1, NaN, 1, 0, NaN, 0.0514972455014926, NaN, 1, NaN, 1, NaN, 0.437, 0.4245, 0.583, 0.3857, 0.3697, 0.157090353942412, 0.138953673404743, 0.347054776371215, 0.125863292706345, 0.126803518133153, 0.078102472324424, 0.0867920346970718, 0.179723502874816, 0.056132514019838, 0.0749438840008996, 0.0645, 0.1185, 0.275, 0.179, 0.0684512195121951, 0.00129353319392493, 0.9998, 1.02275878155617, 0.9454, 14243.5852055972
3, 52, 1, 5000, 277.639, dlmtree:TDLMnested, 2.448825, 5000, 0, 0.0138620575302589, NaN, 0.946091891891892, NaN, 1, 0, NaN, 0.0653117176750929, NaN, 1, NaN, 1, NaN, 0.4145, 0.1575, 0.2675, 0.1786, 0.3473, 0.00375101424140834, 0.000208629978470745, 0.00250376592729202, 0.00172039515762924, 0.200512805521038, 0.0121815326297027, 0.0101884167558218, 0.0195567460755063, 0.0106827849485055, 0.180931875959288, 0.0120180270405608, 0.0190285428142213, 0.108162243365048, 0.377065598397596, 0.0427897944477692, 0.0057513653503918, 0.9658, 0.99019095637929, 0.9508, 14156.4224890531
3, 45, 1, 5000, 303.134, dlmtree:TDLMnested, 2.36835, 5000, 0, 0.00813059952708846, NaN, 0.973037837837838, NaN, 1, 0, NaN, 0.0569628108447292, NaN, 1, NaN, 1, NaN, 0.355, 0.296, 0.344, 0.3827, 0.3891, 0.158831346112857, 0.0797409220008442, 0.104901896477653, 0.130799367327812, 0.164775985379035, 0.0620921336826551, 0.0469830168707103, 0.0471452023749081, 0.0639929336344214, 0.104762995779924, 0.0605, 0.056, 0.095, 0.2185, 0.0615426829268293, 0.00214187531841196, 0.9972, 0.976748603272693, 0.955, 14301.3461431414
3, 47, 1, 5000, 281.55, dlmtree:TDLMnested, 2.40375, 5000, 0, 0.0140948684594287, NaN, 0.945945945945946, NaN, 1, 0, NaN, 0.0664658445538109, NaN, 1, NaN, 1, NaN, 0.0875, 0.0345, 0.0575, 0.2224, 0.0634, 0.0281947673685007, 0.00398002347227614, 0.0103160337200383, 0.18536103813418, 0.0273198797592606, 0.0120183599932184, 0.00253154509023531, 0.00386540710226404, 0.175381062775927, 0.020935874786929, 0.004, 0.011, 0.0125, 0.808, 0.0201524390243902, 0.00592427045676228, 0.91, 1.02316854369548, 0.9396, 14110.5789907352
3, 51, 1, 5000, 273.889, dlmtree:TDLMnested, 2.432175, 5000, 0, 0.0125109864414238, NaN, 0.933540540540541, NaN, 1, 0, NaN, 0.0454429911235802, NaN, 1, NaN, 1, NaN, 0.385, 0.354, 0.2775, 0.3316, 0.3961, 0.143537769880048, 0.132912267216266, 0.0764366533877674, 0.11789487343557, 0.176391629981205, 0.0553481986870476, 0.0810519243070636, 0.0415121079974398, 0.0675504798839952, 0.0968670739176946, 0.047, 0.03, 0.0565, 0.208, 0.0642865853658537, 0.00475801020873237, 0.9346, 0.994624013882431, 0.949, 14155.0495850588
3, 46, 1, 5000, 293.942, dlmtree:TDLMnested, 2.420375, 5000, 0, 0.0117366268895274, NaN, 0.958410810810811, NaN, 1, 0, NaN, 0.0781411647421872, NaN, 1, NaN, 1, NaN, 0.1805, 0.119, 0.568, 0.2153, 0.3288, 0.0268926919790309, 0.00937288303875686, 0.272877374215423, 0.0459247089993332, 0.195615286153638, 0.0144025288470883, 0.00748209119150675, 0.183064959151912, 0.0161038307632638, 0.142906253398635, 0.006, 0.0465, 0.41, 0.365, 0.0417621951219512, 0.0047652851084443, 0.9554, 1.00208046990439, 0.9484, 14241.467975846
3, 49, 1, 5000, 281.065, dlmtree:TDLMnested, 2.419075, 5000, 0, 0.0110803860805554, NaN, 0.973286486486487, NaN, 1, 0, NaN, 0.0268686145427211, NaN, 1, NaN, 1, NaN, 0.359, 0.2785, 0.58, 0.4104, 0.3594, 0.111170735801503, 0.0530263151587329, 0.361268606726093, 0.14480722131549, 0.121665914766748, 0.0623903501610001, 0.0319209180062488, 0.164711722224445, 0.0715541953252488, 0.0766412065964124, 0.0365, 0.08, 0.2745, 0.175, 0.0666219512195122, 0.00298708881974537, 0.9776, 1.00730443019689, 0.948, 14171.7417477389
